Wavelength [nm],Relative Intensity [%]
250.0,0.0
255.6818181818182,0.0
261.3636363636364,0.0
267.04545454545456,0.0
272.72727272727275,0.0
278.40909090909093,0.0
284.0909090909091,0.0
289.77272727272725,0.0
295.45454545454544,0.0
301.1363636363636,0.0
306.8181818181818,0.0
312.5,0.0
318.1818181818182,0.0
323.8636363636364,0.0
329.54545454545456,0.0
335.22727272727275,0.0
340.9090909090909,0.0
346.5909090909091,0.0
352.27272727272725,0.0
357.95454545454544,0.0
363.6363636363636,0.0
369.3181818181818,0.0
375.0,0.0
380.6818181818182,0.0
386.3636363636364,0.0
392.0454545454545,0.0
397.72727272727275,0.0
403.4090909090909,0.0
409.0909090909091,0.0
414.77272727272725,0.0
420.4545454545455,0.0
426.1363636363636,0.0
431.8181818181818,0.0
437.5,0.0
443.1818181818182,0.0
448.8636363636364,0.1697792869269949
454.5454545454545,0.1697792869269949
460.22727272727275,0.1697792869269949
465.9090909090909,0.1697792869269949
471.5909090909091,0.1697792869269949
477.27272727272725,0.1697792869269949
482.9545454545455,0.1697792869269949
488.6363636363636,0.5093378607809848
494.3181818181818,0.5093378607809848
500.0,0.5093378607809848
505.6818181818182,0.5093378607809848
511.3636363636364,0.5093378607809848
517.0454545454545,0.5093378607809848
522.7272727272727,0.6791171477079796
528.409090909091,0.6791171477079796
534.090909090909,0.6791171477079796
539.7727272727273,0.6791171477079796
545.4545454545455,0.8488964346349746
551.1363636363636,0.8488964346349746
556.8181818181818,0.8488964346349746
562.5,1.1884550084889642
568.1818181818182,1.1884550084889642
573.8636363636364,1.1884550084889642
579.5454545454545,1.5280135823429541
585.2272727272727,1.5280135823429541
590.909090909091,1.697792869269949
596.590909090909,1.8675721561969438
602.2727272727273,2.2071307300509337
607.9545454545455,2.3769100169779285
613.6363636363636,2.5466893039049237
619.3181818181818,2.7164685908319184
625.0,3.0560271646859083
630.6818181818182,3.395585738539898
636.3636363636364,3.7351443123938877
642.0454545454545,3.7351443123938877
647.7272727272727,4.074702886247878
653.409090909091,4.4142614601018675
659.090909090909,4.923599320882852
664.7727272727273,5.263157894736842
670.4545454545455,5.602716468590832
676.1363636363636,5.942275042444821
681.8181818181818,6.621392190152801
687.5,6.960950764006792
693.1818181818182,7.470288624787775
698.8636363636364,7.979626485568761
704.5454545454545,8.488964346349745
710.2272727272727,9.168081494057725
715.909090909091,9.847198641765704
721.590909090909,10.186757215619695
727.2727272727273,10.865874363327674
732.9545454545455,11.544991511035652
738.6363636363636,12.224108658743633
744.3181818181818,12.903225806451612
750.0,13.752122241086587
755.6818181818182,14.60101867572156
761.3636363636364,15.280135823429541
767.0454545454545,16.129032258064516
772.7272727272727,16.808149405772497
778.4090909090909,17.65704584040747
784.0909090909091,18.505942275042443
789.7727272727273,19.185059422750424
795.4545454545455,20.0339558573854
801.1363636363636,20.882852292020374
806.8181818181819,21.731748726655347
812.5,22.410865874363328
818.1818181818181,23.2597623089983
823.8636363636364,24.108658743633278
829.5454545454545,25.127334465195243
835.2272727272727,25.97623089983022
840.9090909090909,26.825127334465193
846.5909090909091,27.843803056027166
852.2727272727273,28.69269949066214
857.9545454545455,29.711375212224105
863.6363636363636,30.560271646859082
869.3181818181819,31.40916808149406
875.0,32.42784380305603
880.6818181818181,33.276740237691
886.3636363636364,34.125636672325975
892.0454545454545,35.144312393887944
897.7272727272727,36.16298811544992
903.4090909090909,37.011884550084886
909.0909090909091,37.86078098471987
914.7727272727273,38.879456706281836
920.4545454545455,39.898132427843805
926.1363636363636,40.74702886247878
931.8181818181819,41.59592529711375
937.5,42.61460101867572
